,Time (s),Terminus displacement
0,0.0,0.0
1,9.99,13.06249519551045
2,19.98,25.892912941370696
3,29.97,38.14361808413514
4,39.96,49.83287500232461
5,49.95,61.16044250965092
6,59.94,72.14692815500132
7,69.93,82.477811224947
8,79.92,92.45142946136014
9,89.91,102.04801358210705
10,99.9,111.36739610456277
11,109.89,120.53816300861149
12,119.88,129.41889526619127
13,129.87,138.01618994469152
14,139.86,146.31106380309518
15,149.85,154.3281616481172
16,159.84,162.18325774390496
17,169.83,169.85280011949203
18,179.82,177.30659474965444
19,189.81,184.65914806276533
20,199.8,191.88740295801233
21,209.79,198.8980317909835
22,219.78,205.73393157155317
23,229.77,212.44223527995484
24,239.76,219.00029931479082
25,249.75,225.44335324282144
26,259.74,231.7631892863045
27,269.73,237.99833262904963
28,279.72,244.107660074632
29,289.71,250.13585885856332
30,299.7,256.03714033149424
31,309.69,261.8703467955131
32,319.68,267.63414557269414
33,329.67,273.283168584187
34,339.66,278.8634683709896
35,349.65000000000003,284.3774999680387
36,359.64,289.80481652922117
37,369.63,295.1591866233856
38,379.62,300.43199695604653
39,389.61,305.6512996377412
40,399.6,310.8634252082745
41,409.59000000000003,315.9624982464918
42,419.58,321.00564126347865
43,429.57,325.9495539376794
44,439.56,330.8723398698311
45,449.55,335.7697718444283
46,459.54,340.5943906567136
47,469.53000000000003,345.3441271422165
48,479.52,350.0200655844727
49,489.51,354.6597145401536
50,499.5,359.27922864007303
51,509.49,363.8628567011492
52,519.48,368.38540030100705
53,529.47,372.79975216040634
54,539.46,377.1789968592707
55,549.45,381.5087861158544
56,559.44,385.81745520046354
57,569.4300000000001,390.0838623519587
58,579.42,394.32812825038525
59,589.41,398.49219931404605
60,599.4,402.60922018099006
61,609.39,406.69641742894066
62,619.38,410.7621431321729
63,629.37,414.7992645612868
64,639.36,418.80687615632553
65,649.35,422.75160336335773
66,659.34,426.64539946625996
67,669.33,430.5086091199206
68,679.32,434.37643727640705
69,689.3100000000001,438.1785905897019
70,699.3000000000001,441.96815388635343
71,709.29,445.7093728541273
72,719.28,449.40581777772763
73,729.27,453.05809143328395
74,739.26,456.693164425242
75,749.25,460.32984481585765
76,759.24,463.9254009638247
77,769.23,467.4948464649884
78,779.22,471.0381161593119
79,789.21,474.545508739056
80,799.2,477.9987157226341
81,809.19,481.43436019036176
82,819.1800000000001,484.87667302958323
83,829.1700000000001,488.3018426523248
84,839.16,491.69047142142597
85,849.15,495.0588163709841
86,859.14,498.3955730181534
87,869.13,501.70656723366585
88,879.12,504.96472399287507
89,889.11,508.21445190088014
90,899.1,511.4690742138133
91,909.09,514.7036444310259
92,919.08,517.9127090320519
93,929.07,521.1222796140798
94,939.0600000000001,524.2859152183377
95,949.0500000000001,527.4291948550481
96,959.04,530.5469707223676
97,969.03,533.6605265046426
98,979.02,536.7933832613942
99,989.01,539.9095020625716
100,999.0,543.0119254982956
