,Time (s),Terminus displacement
0,0.0,0.0
1,9.99,13.0597615104449
2,19.98,25.888962448181587
3,29.97,38.13665233237771
4,39.96,49.821787379743455
5,49.95,61.14690352073012
6,59.94,72.13421011406592
7,69.93,82.46477230265725
8,79.92,92.4367164943045
9,89.91,102.03285120758926
10,99.9,111.34997219701756
11,109.89,120.51878404883473
12,119.88,129.3989067215258
13,129.87,137.99078064396542
14,139.86,146.28618903419476
15,149.85,154.30171994033526
16,159.84,162.15237765051256
17,169.83,169.82156512800054
18,179.82,177.27314098346858
19,189.81,184.6233744678119
20,199.8,191.85427098616833
21,209.79,198.86854213365518
22,219.78,205.70866913951738
23,229.77,212.41091634675251
24,239.76,218.9707760766912
25,249.75,225.41712159488782
26,259.74,231.73995564805693
27,269.73,237.97373607497877
28,279.72,244.0863924216627
29,289.71,250.11849961559165
30,299.7,256.0224676974036
31,309.69,261.85615596348623
32,319.68,267.6236608683273
33,329.67,273.27857316059817
34,339.66,278.8654998398795
35,349.65000000000003,284.3828894236498
36,359.64,289.8116463999809
37,369.63,295.17561449002653
38,379.62,300.4543806577574
39,389.61,305.6826392582102
40,399.6,310.8991852848062
41,409.59000000000003,316.0043541058294
42,419.58,321.05465690173503
43,429.57,326.0049968480557
44,439.56,330.93895073356157
45,449.55,335.83903146901343
46,459.54,340.6661400136064
47,469.53000000000003,345.4204878764559
48,479.52,350.09979189793455
49,489.51,354.745380979488
50,499.5,359.3630027159737
51,509.49,363.9576149817477
52,519.48,368.48949515875995
53,529.47,372.9065040498548
54,539.46,377.2939235009778
55,549.45,381.62449123108365
56,559.44,385.93093710941605
57,569.4300000000001,390.19751701877794
58,579.42,394.44148954719594
59,589.41,398.60674890403436
60,599.4,402.7250021391975
61,609.39,406.81382910331183
62,619.38,410.8781421924041
63,629.37,414.9170166108745
64,639.36,418.92069979853545
65,649.35,422.86751730994433
66,659.34,426.7644308823957
67,669.33,430.62577560767363
68,679.32,434.492912547322
69,689.3100000000001,438.3031179123723
70,699.3000000000001,442.0757553682422
71,709.29,445.81316172214144
72,719.28,449.5119261342587
73,729.27,453.1654839011961
74,739.26,456.79536019913644
75,749.25,460.42385932442585
76,759.24,464.0200321942551
77,769.23,467.58688285864366
78,779.22,471.1295771461363
79,789.21,474.64000579442916
80,799.2,478.0953581774197
81,809.19,481.53114945784216
82,819.1800000000001,484.96993615836845
83,829.1700000000001,488.38963047109837
84,839.16,491.7745394065662
85,849.15,495.14101003974736
86,859.14,498.48009205546873
87,869.13,501.79443304321956
88,879.12,505.0504695095683
89,889.11,508.2990258405208
90,899.1,511.5456074778831
91,909.09,514.7737427218406
92,919.08,517.9812048612464
93,929.07,521.1901586023689
94,939.0600000000001,524.3564940984339
95,949.0500000000001,527.5052438594814
96,959.04,530.6255203589917
97,969.03,533.7388000550723
98,979.02,536.8611690285106
99,989.01,539.9670406693378
100,999.0,543.0711347722747
