,Time (s),Terminus displacement
0,0.0,0.0
1,9.999,16.62516395670491
2,19.998,34.5283685862928
3,29.997,51.33027434678661
4,39.996,67.24297343947069
5,49.995000000000005,82.2266658328706
6,59.994,96.44376449730066
7,69.993,109.93507722582058
8,79.992,122.85479859481688
9,89.991,135.33705040973894
10,99.99000000000001,147.26041771854693
11,109.989,158.73710637587556
12,119.988,169.8017391154301
13,129.987,180.51306194600045
14,139.986,190.9067400886055
15,149.985,200.969470392051
16,159.984,210.7377430973179
17,169.983,220.2312370932932
18,179.982,229.47957139399887
19,189.981,238.49743723776487
20,199.98000000000002,247.29457042902402
21,209.979,255.88392517861132
22,219.978,264.2861140452992
23,229.977,272.504521167426
24,239.976,280.5497731872563
25,249.975,288.4343871615014
26,259.974,296.15575477278674
27,269.973,303.7424905610002
28,279.972,311.1831828949877
29,289.971,318.5538522620204
30,299.97,325.7949377210887
31,309.969,332.88758672405777
32,319.968,339.8815526878559
33,329.967,346.7734650483245
34,339.966,353.52328484549764
35,349.96500000000003,360.1557357612795
36,359.964,366.6952425944031
37,369.963,373.15262365992703
38,379.962,379.48600787845373
39,389.961,385.70473954747536
40,399.96000000000004,391.84853007316724
41,409.959,397.9202725294641
42,419.958,403.89342764064656
43,429.957,409.7649940441381
44,439.956,415.56934530944955
45,449.955,421.3079415453682
46,459.954,426.9783055902876
47,469.95300000000003,432.57440978765817
48,479.952,438.0665003548801
49,489.951,443.52426470210287
50,499.95,448.91873019380967
51,509.949,454.2520887162956
52,519.948,459.5299959325621
53,529.947,464.70158844300727
54,539.946,469.859313866589
55,549.945,474.9630189434772
56,559.944,480.0203347489477
57,569.943,485.0292080697526
58,579.942,489.9423375236048
59,589.941,494.84348640111057
60,599.94,499.6888456752596
61,609.939,504.4856761364905
62,619.938,509.25015357739915
63,629.937,513.9756299742645
64,639.936,518.6729004179001
65,649.9350000000001,523.3235883914822
66,659.934,527.9333400665175
67,669.933,532.5086328472696
68,679.932,537.0787294417496
69,689.931,541.598219769387
70,699.9300000000001,546.0761394336218
71,709.929,550.5077901248771
72,719.928,554.9025899664412
73,729.927,559.2884956687178
74,739.926,563.6657333096957
75,749.9250000000001,567.9912261262095
76,759.924,572.2914685287749
77,769.923,576.534625047484
78,779.922,580.7466056210571
79,789.921,584.9833872241722
80,799.9200000000001,589.2068118710122
81,809.919,593.3640606239026
82,819.918,597.4911676388315
83,829.917,601.5886378723756
84,839.916,605.6846629905542
85,849.915,609.8201893727742
86,859.914,613.9280334971143
87,869.913,617.9354169760147
88,879.912,621.9040565881046
89,889.9110000000001,625.8559260375753
90,899.91,629.7849015761055
91,909.909,633.7511810863416
92,919.908,637.7060479490783
93,929.907,641.6286939322524
94,939.9060000000001,645.5281486454016
95,949.905,649.4079840947279
96,959.904,653.2827406637032
97,969.903,657.1290773618866
98,979.902,661.0260954176995
99,989.9010000000001,664.8734592703877
100,999.9,668.6699892487363
