,Time (s),Terminus displacement
0,0.0,0.0
1,9.99,15.744359376274247
2,19.98,32.3181012058393
3,29.97,47.91776404186487
4,39.96,62.719489898034794
5,49.95,76.79191223363512
6,59.94,90.0806659643265
7,69.93,102.75398404085831
8,79.92,114.89445887866998
9,89.91,126.65382861796706
10,99.9,137.9662743989296
11,109.89,148.7906274162964
12,119.88,159.27431495792587
13,129.87,169.4200293543896
14,139.86,179.24450585754346
15,149.85,188.84314083259312
16,159.84,198.1202141824175
17,169.83,207.1235673150453
18,179.82,215.9021816417494
19,189.81,224.44467224120922
20,199.8,232.80261844793483
21,209.79,240.97161745462415
22,219.78,248.95033059563968
23,229.77,256.75585922066296
24,239.76,264.42510444725826
25,249.75,271.9374873935715
26,259.74,279.29179355957774
27,269.73,286.53572461778424
28,279.72,293.6415216778777
29,289.71,300.6072514141139
30,299.7,307.4847634307788
31,309.69,314.2361651908773
32,319.68,320.8882435214408
33,329.67,327.4352560420889
34,339.66,333.89141950666965
35,349.65000000000003,340.2510177675274
36,359.64,346.52403653701674
37,369.63,352.710380810611
38,379.62,358.81222106052473
39,389.61,364.7973725221259
40,399.6,370.6992151016193
41,409.59000000000003,376.529659091227
42,419.58,382.2644665689604
43,429.57,387.91837060551995
44,439.56,393.4998726140583
45,449.55,398.9971091555142
46,459.54,404.441466404783
47,469.53000000000003,409.82460884812053
48,479.52,415.1398899883851
49,489.51,420.3733049162846
50,499.5,425.5474410061372
51,509.49,430.6720364077876
52,519.48,435.76240425097865
53,529.47,440.78467330932347
54,539.46,445.72269919064775
55,549.45,450.6107941429377
56,559.44,455.4524990405257
57,569.4300000000001,460.26633830903995
58,579.42,465.0322702772853
59,589.41,469.7301445647413
60,599.4,474.3718874825827
61,609.39,478.96548424266246
62,619.38,483.5388963044386
63,629.37,488.07376434453226
64,639.36,492.5591259609612
65,649.35,496.99143121462896
66,659.34,501.3732096276955
67,669.33,505.7098310390577
68,679.32,510.0375711430205
69,689.3100000000001,514.3508521798582
70,699.3000000000001,518.625255407242
71,709.29,522.8402413937795
72,719.28,527.0203299268761
73,729.27,531.1636897281019
74,739.26,535.3143477443004
75,749.25,539.454949876096
76,759.24,543.5691729149055
77,769.23,547.6335508638497
78,779.22,551.6450408929043
79,789.21,555.627878795269
80,799.2,559.6157403149036
81,809.19,563.5781202767107
82,819.1800000000001,567.5552755746814
83,829.1700000000001,571.4561341101271
84,839.16,575.323130154909
85,849.15,579.1923122905491
86,859.14,582.9643544224684
87,869.13,586.8040325178858
88,879.12,590.6446578937421
89,889.11,594.4436357335253
90,899.1,598.1718878455324
91,909.09,601.8610909897768
92,919.08,605.5351499404746
93,929.07,609.1685342214266
94,939.0600000000001,612.9461975457959
95,949.0500000000001,616.5505993391314
96,959.04,620.1173213871346
97,969.03,623.6623967167811
98,979.02,627.1693453763987
99,989.01,630.659325619592
100,999.0,634.1234945253416
