,Time (s),Height
0,0.0,0.0
1,0.12,-1.3151591413716233
2,0.24,-4.690805153198291
3,0.36,-9.792989065851565
4,0.48,-14.603036658361745
5,0.6,-16.121870080776233
6,0.72,-14.983032786835807
7,0.84,-11.907430604156247
8,0.96,-7.500146251532513
9,1.08,-3.510639751276763
10,1.2,-1.3119872049164272
11,1.32,-2.0622401799904537
12,1.44,-4.5851587963781455
13,1.56,-7.776595492684777
14,1.68,-11.563060757939397
15,1.8,-14.473947924116139
16,1.92,-14.792707856693092
17,2.04,-12.750657294963823
18,2.16,-9.528451979584382
19,2.2800000000000002,-6.436663533210897
20,2.4,-3.9913768397033564
21,2.52,-2.8799302030841503
22,2.64,-3.9879173279411546
23,2.7600000000000002,-6.7224192323320295
24,2.88,-9.544541996610903
25,3.0,-12.051308634033248
26,3.12,-13.372720599396608
27,3.24,-13.06447955821632
28,3.36,-11.138215636910815
29,3.48,-8.229728549428522
30,3.6,-5.9136557612801965
31,3.72,-4.5931808762228385
32,3.84,-4.70268911982464
33,3.96,-5.775233906350117
34,4.08,-7.728316317008577
35,4.2,-10.345112876160378
36,4.32,-12.03965124286082
37,4.44,-12.4498367477443
38,4.5600000000000005,-11.708767267937723
39,4.68,-10.00521190895573
40,4.8,-8.092300489215965
41,4.92,-6.588053055898236
42,5.04,-5.66896970563154
43,5.16,-6.299698420526909
44,5.28,-7.306128251597357
45,5.4,-8.56330314764196
46,5.5200000000000005,-10.258492566726161
47,5.64,-11.129893896144893
48,5.76,-11.481496424306037
49,5.88,-10.951400740643308
50,6.0,-9.770986122116383
51,6.12,-8.611000709398027
52,6.24,-7.840772731718786
53,6.36,-7.231993519708851
54,6.48,-7.361833465690779
55,6.6000000000000005,-8.018720662891276
56,6.72,-8.692268755380361
57,6.84,-9.681528790045363
58,6.96,-10.239361385691552
59,7.08,-10.107562546790895
60,7.2,-10.048682244102011
61,7.32,-9.555144804217782
62,7.44,-8.820747725078583
63,7.5600000000000005,-8.512220890608347
64,7.68,-8.20017486670551
65,7.8,-8.226111279856738
66,7.92,-8.591998748512516
67,8.040000000000001,-8.87785357997587
68,8.16,-9.289925945056893
69,8.28,-9.581466990536875
70,8.4,-9.561961395585946
71,8.52,-9.369586060990613
72,8.64,-9.370586173536637
73,8.76,-9.003148921815082
74,8.88,-8.823675275000802
75,9.0,-8.77039238261117
76,9.120000000000001,-8.742707688164266
77,9.24,-8.8897288888015
78,9.36,-8.945637259917575
79,9.48,-9.060195860101757
80,9.6,-9.184543370429168
81,9.72,-9.233471111530918
82,9.84,-9.115413917638499
83,9.96,-9.120882636985286
84,10.08,-9.06155061861783
85,10.200000000000001,-8.958742717484327
86,10.32,-8.97418739112198
87,10.44,-8.925977244191024
88,10.56,-8.976131494747193
89,10.68,-9.012234174029182
90,10.8,-9.033036655938417
91,10.92,-9.04790802618615
92,11.040000000000001,-9.071335512148735
93,11.16,-9.063754357291565
94,11.28,-9.048509233680385
95,11.4,-9.04111326877171
96,11.52,-9.011586184363402
97,11.64,-9.027579630009797
98,11.76,-9.016614661088617
99,11.88,-9.011973877811052
100,12.0,-9.031154182809821
101,12.120000000000001,-9.033428867220188
102,12.24,-9.034632478324333
103,12.36,-9.036440795945069
104,12.48,-9.038590833405223
