,Time (s),Terminus displacement
0,0.0,0.0
1,0.1,-0.06500000000000483
2,0.2,-0.22999999999999687
3,0.3,-0.49499999999110145
4,0.4,-0.8599999987566846
5,0.5,-1.324999955861493
6,0.6,-1.8899993750619046
7,0.7000000000000001,-2.554993105109425
8,0.8,-3.3199443349228446
9,0.9,-4.1846752888947165
10,1.0,-5.148528430126859
11,1.1,-6.209276198372116
12,1.2,-7.360787187708048
13,1.3,-8.590482688202712
14,1.4000000000000001,-9.871748698262046
15,1.5,-11.162723985187107
16,1.6,-12.408304360348296
17,1.7,-13.540584394798344
18,1.8,-14.511750663572357
19,1.9000000000000001,-15.298699118076392
20,2.0,-15.90657467836651
21,2.1,-16.358814795532894
22,2.2,-16.688066646449364
23,2.3000000000000003,-16.91146443950668
24,2.4,-17.02780420083338
25,2.5,-17.02784680917071
26,2.6,-16.900309533984803
27,2.7,-16.632774013428417
28,2.8000000000000003,-16.219252424655203
29,2.9,-15.670253541469975
30,3.0,-15.015298558817754
31,3.1,-14.293607682422511
32,3.2,-13.510475419487804
33,3.3000000000000003,-12.639191605074032
34,3.4,-11.645295705517135
35,3.5,-10.518720151202608
36,3.6,-9.291953065201106
37,3.7,-8.033514132275464
38,3.8000000000000003,-6.801491240145921
39,3.9,-5.627740518823337
40,4.0,-4.5124523159905365
41,4.1,-3.4705529731667184
42,4.2,-2.520096821268311
43,4.3,-1.6955959161675622
44,4.4,-1.0284951589970603
45,4.5,-0.5212947584277074
46,4.6000000000000005,-0.1623456979182194
47,4.7,0.057820085710808655
48,4.8,0.13683057490167982
49,4.9,0.08043996151725707
50,5.0,-0.07276364646863698
51,5.1000000000000005,-0.2775505304430155
52,5.2,-0.5253728283279457
53,5.3,-0.8392851563979065
54,5.4,-1.248634134394493
55,5.5,-1.765660874113287
56,5.6000000000000005,-2.3819327263327494
57,5.7,-3.095672156752059
58,5.8,-3.910338100503637
59,5.9,-4.8103003213270625
60,6.0,-5.771607854152066
61,6.1000000000000005,-6.793349704507833
62,6.2,-7.846664338147541
63,6.3,-8.918975205019791
64,6.4,-10.034539342776512
65,6.5,-11.189380533740014
66,6.6000000000000005,-12.381682300917824
67,6.7,-13.548553056809169
68,6.8,-14.6290012132106
69,6.9,-15.566545461973405
70,7.0,-16.307358842064275
71,7.1000000000000005,-16.847070607657827
72,7.2,-17.19380557887778
73,7.3,-17.3422509416788
74,7.4,-17.289984673553295
75,7.5,-17.060145790660535
76,7.6000000000000005,-16.69767621103078
77,7.7,-16.241083334193
78,7.8,-15.706181458711093
79,7.9,-15.098019595541878
80,8.0,-14.438953770181698
81,8.1,-13.747014737244768
82,8.2,-12.988655292259061
83,8.3,-12.12129965852251
84,8.4,-11.136282317998194
85,8.5,-10.03861897087689
86,8.6,-8.872896280503248
87,8.700000000000001,-7.709305375951367
88,8.8,-6.587843564205755
89,8.9,-5.5295796174766565
90,9.0,-4.511824595121894
91,9.1,-3.514833908881627
92,9.200000000000001,-2.5576648208372035
93,9.3,-1.6741500118308252
94,9.4,-0.9055409961068506
95,9.5,-0.28320443335243084
96,9.6,0.17669167695363086
97,9.700000000000001,0.47618871659106077
98,9.8,0.6134729795516378
99,9.9,0.580385544166063
